Trading_date,Trading_period,Node,Price
2016-01-09,26,MTR0331,56.87
2016-01-09,27,MTR0331,56.62
2016-01-09,28,MTR0331,57.54
2016-01-09,29,MTR0331,56.55
2016-01-09,30,MTR0331,55.83
2016-01-09,31,MTR0331,57.02
2016-01-09,32,MTR0331,58.03
2016-01-09,33,MTR0331,61.02
2016-01-09,34,MTR0331,60.52
2016-01-09,35,MTR0331,61.45
2016-01-09,36,MTR0331,62.92
2016-01-09,37,MTR0331,60.48
2016-01-09,38,MTR0331,61.24
2016-01-09,39,MTR0331,61.53
2016-01-09,40,MTR0331,56.44
2016-01-09,41,MTR0331,55.05
2016-01-09,42,MTR0331,59.09
2016-01-09,43,MTR0331,61.69
2016-01-09,44,MTR0331,63.1
2016-01-09,45,MTR0331,64.56
2016-01-09,46,MTR0331,64.7
2016-01-09,47,MTR0331,59.46
2016-01-09,48,MTR0331,56.35
2016-01-10,1,MTR0331,69.22
2016-01-10,2,MTR0331,65.67
2016-01-10,3,MTR0331,65.82
2016-01-10,4,MTR0331,65.04
2016-01-10,5,MTR0331,63.36
2016-01-10,6,MTR0331,62.9
2016-01-10,7,MTR0331,63.42
2016-01-10,8,MTR0331,52.15
2016-01-10,9,MTR0331,50.53
2016-01-10,10,MTR0331,50.51
2016-01-10,11,MTR0331,54.02
2016-01-10,12,MTR0331,52.58
2016-01-10,13,MTR0331,52.64
2016-01-10,14,MTR0331,52.03
2016-01-10,15,MTR0331,56.02
2016-01-10,16,MTR0331,66.73
2016-01-10,17,MTR0331,65.54
2016-01-10,18,MTR0331,67.05
2016-01-10,19,MTR0331,65.4
2016-01-10,20,MTR0331,67.57
2016-01-10,21,MTR0331,66.03
2016-01-10,22,MTR0331,65.44
2016-01-10,23,MTR0331,66.12
2016-01-10,24,MTR0331,63.92
2016-01-10,25,MTR0331,61.44
2016-01-10,26,MTR0331,61.42
2016-01-10,27,MTR0331,55.06
2016-01-10,28,MTR0331,54.09
2016-01-10,29,MTR0331,54.09
2016-01-10,30,MTR0331,54.44
2016-01-10,31,MTR0331,54.99
2016-01-10,32,MTR0331,56.19
2016-01-10,33,MTR0331,65.92
2016-01-10,34,MTR0331,72.5
2016-01-10,35,MTR0331,73.34
2016-01-10,36,MTR0331,74.78
2016-01-10,37,MTR0331,77.44
2016-01-10,38,MTR0331,76.43
2016-01-10,39,MTR0331,74.85
2016-01-10,40,MTR0331,74.72
2016-01-10,41,MTR0331,73.84
2016-01-10,42,MTR0331,75.87
2016-01-10,43,MTR0331,91.32
2016-01-10,44,MTR0331,80.8
2016-01-10,45,MTR0331,80.29
2016-01-10,46,MTR0331,73.55
2016-01-10,47,MTR0331,79.94
2016-01-10,48,MTR0331,71.34
2016-01-11,1,MTR0331,74.84
2016-01-11,2,MTR0331,74.9
2016-01-11,3,MTR0331,79.75
2016-01-11,4,MTR0331,79.58
2016-01-11,5,MTR0331,74.52
2016-01-11,6,MTR0331,75.43
2016-01-11,7,MTR0331,69
2016-01-11,8,MTR0331,68.95
2016-01-11,9,MTR0331,70.12
2016-01-11,10,MTR0331,71.53
2016-01-11,11,MTR0331,74.57
2016-01-11,12,MTR0331,80.37
2016-01-11,13,MTR0331,72.86
2016-01-11,14,MTR0331,71.32
2016-01-11,15,MTR0331,68.99
2016-01-11,16,MTR0331,74.95
2016-01-11,17,MTR0331,89.91
2016-01-11,18,MTR0331,89.89
2016-01-11,19,MTR0331,90.4
2016-01-11,20,MTR0331,90.07
2016-01-11,21,MTR0331,93.42
2016-01-11,22,MTR0331,93.22
2016-01-11,23,MTR0331,93.22
2016-01-11,24,MTR0331,103.7
2016-01-11,25,MTR0331,103.79
2016-01-11,26,MTR0331,87.22
2016-01-11,27,MTR0331,92.32
2016-01-11,28,MTR0331,87.87
2016-01-11,29,MTR0331,87.25
2016-01-11,30,MTR0331,88.62
2016-01-11,31,MTR0331,93.04
2016-01-11,32,MTR0331,93.03
2016-01-11,33,MTR0331,88.47
2016-01-11,34,MTR0331,87.82
2016-01-11,35,MTR0331,87.9
2016-01-11,36,MTR0331,91.82
2016-01-11,37,MTR0331,87.29
2016-01-11,38,MTR0331,84.29
2016-01-11,39,MTR0331,85.08
2016-01-11,40,MTR0331,87.46
2016-01-11,41,MTR0331,85.48
2016-01-11,42,MTR0331,85.6
2016-01-11,43,MTR0331,92.17
2016-01-11,44,MTR0331,88.01
2016-01-11,45,MTR0331,86.75
2016-01-11,46,MTR0331,77.21
2016-01-11,47,MTR0331,72.71
2016-01-11,48,MTR0331,68.41
2016-01-12,1,MTR0331,83.03
2016-01-12,2,MTR0331,81.6
2016-01-12,3,MTR0331,93.04
2016-01-12,4,MTR0331,82.02
2016-01-12,5,MTR0331,81.28
2016-01-12,6,MTR0331,68.38
2016-01-12,7,MTR0331,63.98
2016-01-12,8,MTR0331,65.12
2016-01-12,9,MTR0331,63.64
2016-01-12,10,MTR0331,63.65
2016-01-12,11,MTR0331,73.39
2016-01-12,12,MTR0331,73.1
2016-01-12,13,MTR0331,72.07
2016-01-12,14,MTR0331,82.33
2016-01-12,15,MTR0331,77.01
2016-01-12,16,MTR0331,78.57
2016-01-12,17,MTR0331,97.8
2016-01-12,18,MTR0331,102.03
2016-01-12,19,MTR0331,98.47
2016-01-12,20,MTR0331,92.55
2016-01-12,21,MTR0331,110.99
2016-01-12,22,MTR0331,110.97
2016-01-12,23,MTR0331,92.84
2016-01-12,24,MTR0331,89.51
2016-01-12,25,MTR0331,91.77
2016-01-12,26,MTR0331,101.06
2016-01-12,27,MTR0331,93.76
2016-01-12,28,MTR0331,93.91
2016-01-12,29,MTR0331,83.64
2016-01-12,30,MTR0331,83.08
2016-01-12,31,MTR0331,79.23
2016-01-12,32,MTR0331,85.68
2016-01-12,33,MTR0331,100.33
2016-01-12,34,MTR0331,90.37
2016-01-12,35,MTR0331,90.42
2016-01-12,36,MTR0331,100.78
2016-01-12,37,MTR0331,87.2
2016-01-12,38,MTR0331,85.34
2016-01-12,39,MTR0331,78.57
2016-01-12,40,MTR0331,78.62
2016-01-12,41,MTR0331,76.7
2016-01-12,42,MTR0331,85.45
2016-01-12,43,MTR0331,84.91
2016-01-12,44,MTR0331,78.29
2016-01-12,45,MTR0331,85.88
2016-01-12,46,MTR0331,63.97
2016-01-12,47,MTR0331,69.23
2016-01-12,48,MTR0331,62.31
2016-01-13,1,MTR0331,70.48
2016-01-13,2,MTR0331,71.05
2016-01-13,3,MTR0331,67.84
2016-01-13,4,MTR0331,59.13
2016-01-13,5,MTR0331,59.5
2016-01-13,6,MTR0331,57.34
2016-01-13,7,MTR0331,57.34
2016-01-13,8,MTR0331,61.22
2016-01-13,9,MTR0331,61.73
2016-01-13,10,MTR0331,56.95
2016-01-13,11,MTR0331,65.03
2016-01-13,12,MTR0331,61.15
2016-01-13,13,MTR0331,57.27
2016-01-13,14,MTR0331,62.47
2016-01-13,15,MTR0331,61.42
2016-01-13,16,MTR0331,73.26
2016-01-13,17,MTR0331,79.84
2016-01-13,18,MTR0331,84.06
2016-01-13,19,MTR0331,81.04
2016-01-13,20,MTR0331,81.21
2016-01-13,21,MTR0331,85.69
2016-01-13,22,MTR0331,87.15
2016-01-13,23,MTR0331,83.19
2016-01-13,24,MTR0331,76.61
2016-01-13,25,MTR0331,79.86
2016-01-13,26,MTR0331,80.5
2016-01-13,27,MTR0331,81.1
2016-01-13,28,MTR0331,79.25
2016-01-13,29,MTR0331,78.31
2016-01-13,30,MTR0331,82.53
2016-01-13,31,MTR0331,82.6
2016-01-13,32,MTR0331,83.31
2016-01-13,33,MTR0331,86.02
2016-01-13,34,MTR0331,83.16
2016-01-13,35,MTR0331,79.33
2016-01-13,36,MTR0331,74.87
2016-01-13,37,MTR0331,68.13
2016-01-13,38,MTR0331,62.21
2016-01-13,39,MTR0331,58.85
2016-01-13,40,MTR0331,58.94
2016-01-13,41,MTR0331,56.16
2016-01-13,42,MTR0331,68.81
2016-01-13,43,MTR0331,78.11
2016-01-13,44,MTR0331,79.96
2016-01-13,45,MTR0331,80.41
2016-01-13,46,MTR0331,73.05
2016-01-13,47,MTR0331,77.38
2016-01-13,48,MTR0331,70.8
2016-01-14,1,MTR0331,67.98
2016-01-14,2,MTR0331,68.37
2016-01-14,3,MTR0331,68.15
2016-01-14,4,MTR0331,68.07
2016-01-14,5,MTR0331,65.93
2016-01-14,6,MTR0331,65.63
2016-01-14,7,MTR0331,65.93
2016-01-14,8,MTR0331,61.16
2016-01-14,9,MTR0331,62.15
2016-01-14,10,MTR0331,62.09
2016-01-14,11,MTR0331,64.93
2016-01-14,12,MTR0331,68.18
2016-01-14,13,MTR0331,80.35
2016-01-14,14,MTR0331,80.72
2016-01-14,15,MTR0331,68.48
2016-01-14,16,MTR0331,75.3
2016-01-14,17,MTR0331,88.14
2016-01-14,18,MTR0331,95.3
2016-01-14,19,MTR0331,93.42
2016-01-14,20,MTR0331,93.16
2016-01-14,21,MTR0331,84.21
2016-01-14,22,MTR0331,90.88
2016-01-14,23,MTR0331,91.04
2016-01-14,24,MTR0331,90.39
2016-01-14,25,MTR0331,94.97
2016-01-14,26,MTR0331,91.5
2016-01-14,27,MTR0331,100.78
2016-01-14,28,MTR0331,100.91
2016-01-14,29,MTR0331,101.01
2016-01-14,30,MTR0331,100.32
2016-01-14,31,MTR0331,100.12
2016-01-14,32,MTR0331,92.45
2016-01-14,33,MTR0331,82.93
2016-01-14,34,MTR0331,82.22
2016-01-14,35,MTR0331,77.17
2016-01-14,36,MTR0331,81.99
2016-01-14,37,MTR0331,68.53
2016-01-14,38,MTR0331,69.01
2016-01-14,39,MTR0331,69.54
2016-01-14,40,MTR0331,69.61
2016-01-14,41,MTR0331,62.72
2016-01-14,42,MTR0331,69.65
2016-01-14,43,MTR0331,81.8
2016-01-14,44,MTR0331,87.51
2016-01-14,45,MTR0331,82.06
2016-01-14,46,MTR0331,84.62
2016-01-14,47,MTR0331,76.37
2016-01-14,48,MTR0331,70.12
2016-01-15,1,MTR0331,63.7
2016-01-15,2,MTR0331,74.82
2016-01-15,3,MTR0331,74.93
2016-01-15,4,MTR0331,74.96
2016-01-15,5,MTR0331,70.26
2016-01-15,6,MTR0331,66.38
2016-01-15,7,MTR0331,63.37
2016-01-15,8,MTR0331,54.82
2016-01-15,9,MTR0331,55.05
2016-01-15,10,MTR0331,55.27
2016-01-15,11,MTR0331,63.86
2016-01-15,12,MTR0331,70.83
2016-01-15,13,MTR0331,72.71
2016-01-15,14,MTR0331,83.29
2016-01-15,15,MTR0331,78.93
2016-01-15,16,MTR0331,85.63
2016-01-15,17,MTR0331,91.11
2016-01-15,18,MTR0331,95.88
2016-01-15,19,MTR0331,96.05
2016-01-15,20,MTR0331,96.07
2016-01-15,21,MTR0331,101.08
2016-01-15,22,MTR0331,96.72
2016-01-15,23,MTR0331,90.48
2016-01-15,24,MTR0331,91.25
2016-01-15,25,MTR0331,86.29
2016-01-15,26,MTR0331,86.03
2016-01-15,27,MTR0331,86.1
2016-01-15,28,MTR0331,87.84
2016-01-15,29,MTR0331,86.57
2016-01-15,30,MTR0331,86.91
2016-01-15,31,MTR0331,88.81
2016-01-15,32,MTR0331,88.68
2016-01-15,33,MTR0331,88.97
2016-01-15,34,MTR0331,86.31
2016-01-15,35,MTR0331,85.31
2016-01-15,36,MTR0331,88.5
2016-01-15,37,MTR0331,85.34
2016-01-15,38,MTR0331,84.81
2016-01-15,39,MTR0331,76.57
2016-01-15,40,MTR0331,75.99
2016-01-15,41,MTR0331,72.94
2016-01-15,42,MTR0331,82.32
2016-01-15,43,MTR0331,80.44
2016-01-15,44,MTR0331,80.97
2016-01-15,45,MTR0331,80.86
2016-01-15,46,MTR0331,72.16
2016-01-15,47,MTR0331,75.73
2016-01-15,48,MTR0331,78.57
2016-01-16,1,MTR0331,84.28
2016-01-16,2,MTR0331,86.8
2016-01-16,3,MTR0331,84.71
2016-01-16,4,MTR0331,76.97
2016-01-16,5,MTR0331,76.86
2016-01-16,6,MTR0331,71.36
2016-01-16,7,MTR0331,59.55
2016-01-16,8,MTR0331,58.34
2016-01-16,9,MTR0331,63.49
2016-01-16,10,MTR0331,67.25
